Name,Phone Number,Address,Skills,Email,Previous Work Experience,Projects,Education,Licenses and Certifications
Mr. Micheal Dawson,+1-871-030-3487,"6767 Teresa Lake Suite 919, West Anthony, OR 47971","R, Pandas, NLP, DataRobot, TensorFlow",bchen@gmail.com,Business Analyst at QRS Inc; Data Visualization Specialist at DataViz Ltd,Real-time Data Pipeline; Marketing Campaign Analysis; Sales Forecasting,"M.Sc. in Data Science, 2018",Tableau Desktop Specialist; DataCamp Data Scientist
Michael Cross,8607485069,"668 Holder Glen Apt. 213, Jakeshire, DE 39930","Exploratory Data Analysis, ETL, Dash, Data Cleaning, Data Governance",riosjeffrey@hotmail.com,Research Assistant at University of Data; ETL Developer at FlowTech; Data Intern at XYZ Ltd,E-commerce Dashboard; Healthcare Data Analysis,"B.Sc. in Mathematics, 2021; M.Sc. in Data Science, 2018",Udacity Data Analyst Nanodegree; Microsoft Certified: Data Analyst Associate; Tableau Desktop Specialist
John Warner,+1-552-286-8526x9329,"71926 Matthew Ford, Port Traci, SC 20211","Amazon QuickSight, SAS, Python, Power BI, Keras",watsonmichael@gmail.com,Data Visualization Specialist at DataViz Ltd; SQL Developer at DBMasters; BI Developer at InsightWorks,Healthcare Data Analysis; Sales Forecasting,"B.Sc. in Statistics, 2019",IBM Data Science Professional Certificate; Google Data Analytics Certificate; DataCamp Data Scientist
Emily Bailey,403-341-7221x02187,"5001 Sloan Square Suite 072, Johnsontown, WI 05146","NoSQL, Data Governance, Jupyter, DataRobot, Snowflake",henrykevin@taylor.com,Business Analyst at QRS Inc; Data Intern at XYZ Ltd,Sales Forecasting; Marketing Campaign Analysis,"B.Tech in Information Technology, 2018",AWS Certified Data Analytics – Specialty; Microsoft Certified: Data Analyst Associate; Udacity Data Analyst Nanodegree
Michelle Fisher,699.802.4043x669,"5737 Kathleen Vista Apt. 969, Tiffanyville, NY 07035","ETL, TensorFlow, SAS, BigQuery, Spark",gwilliams@yahoo.com,Research Assistant at University of Data; BI Developer at InsightWorks; Junior Analyst at ABC Corp; Business Analyst at QRS Inc,Customer Segmentation; Fraud Detection System; Healthcare Data Analysis,"B.Tech in Computer Science, 2018",AWS Certified Data Analytics – Specialty; Udacity Data Analyst Nanodegree; SAS Certified Data Scientist
Michael Thomas,+1-659-730-0747x5428,"082 Steven Via Apt. 793, Port Wandahaven, WA 79170","MATLAB, Google Sheets, SPSS, NoSQL, Seaborn",qcrosby@young.info,Junior Analyst at ABC Corp; ETL Developer at FlowTech,Sales Forecasting; E-commerce Dashboard,"MBA in Business Analytics, 2020",Google Data Analytics Certificate; Certified Analytics Professional (CAP); Cloudera Certified Associate (CCA) Data Analyst
Rhonda Whitehead,(584)902-7011x49525,"935 Grant Brook Suite 674, Briantown, OR 99894","Qlik, Keras, Pandas, Business Intelligence, ETL",catherine15@gmail.com,Machine Learning Intern at AI Labs; Research Assistant at University of Data,Churn Prediction; Real-time Data Pipeline,"M.Tech in Data Analytics, 2020",Tableau Desktop Specialist; Cloudera Certified Associate (CCA) Data Analyst; Udacity Data Analyst Nanodegree
Amanda Long,930.623.7131,"631 James Pass, Hamiltonville, MO 29951","MATLAB, Flask, Data Visualization, Exploratory Data Analysis, NumPy",jerryharris@yahoo.com,Data Intern at XYZ Ltd; Research Assistant at University of Data,Healthcare Data Analysis; Fraud Detection System; Marketing Campaign Analysis,"M.Sc. in Statistics, 2018; M.Sc. in Data Science, 2017",Udacity Data Analyst Nanodegree; IBM Data Science Professional Certificate; Certified Analytics Professional (CAP)
Teresa Wood,+1-975-770-5532x15199,"096 Richards Trail Apt. 217, Lake Jameshaven, OH 58068","AWS Redshift, Flask, Seaborn, TensorFlow, RapidMiner",scottmeagan@tate-patterson.org,Data Intern at XYZ Ltd; ETL Developer at FlowTech; SQL Developer at DBMasters,Social Media Sentiment Analysis; Sales Forecasting,"M.Sc. in Data Science, 2022; M.Sc. in Statistics, 2022",Google Data Analytics Certificate
Eric Montgomery,(423)411-0709x4674,"14273 Wilkerson Club Suite 540, Stephanieshire, TX 63479","ETL, Flask, Python, Statistics, Tableau",lfischer@smith.com,ETL Developer at FlowTech; Junior Analyst at ABC Corp,Credit Risk Modeling; E-commerce Dashboard,"B.Sc. in Mathematics, 2021; B.Sc. in Computer Science, 2020",Microsoft Certified: Data Analyst Associate; Udacity Data Analyst Nanodegree; Cloudera Certified Associate (CCA) Data Analyst
Mark Pratt,408-224-4532x390,"824 Jones Shores Suite 774, Lake Angela, IN 54707","Business Intelligence, Data Cleaning, Apache Airflow, Data Mining, TensorFlow",jessica65@gmail.com,BI Developer at InsightWorks; Machine Learning Intern at AI Labs; SQL Developer at DBMasters; Research Assistant at University of Data,Customer Segmentation; Marketing Campaign Analysis,"M.Sc. in Statistics, 2016",AWS Certified Data Analytics – Specialty; Microsoft Certified: Data Analyst Associate; Certified Analytics Professional (CAP)
Nicole Cherry,022.841.0300x007,"9828 Tricia Key, New Danielleview, ID 70786","AWS Redshift, Data Wrangling, SQL, Google Sheets, Power BI",danieltyler@yahoo.com,Junior Analyst at ABC Corp; BI Developer at InsightWorks; Data Intern at XYZ Ltd,Real-time Data Pipeline; Social Media Sentiment Analysis; Sales Forecasting,"M.Sc. in Data Science, 2023",Certified Analytics Professional (CAP); AWS Certified Data Analytics – Specialty
Felicia Ward,001-748-500-0835x84033,"940 Philip Lodge, West Samuel, FL 01525","Apache Airflow, SAS, Keras, A/B Testing, Google Analytics",jennifer45@gmail.com,Data Visualization Specialist at DataViz Ltd; SQL Developer at DBMasters,Churn Prediction; Real-time Data Pipeline,"B.Tech in Information Technology, 2016",Udacity Data Analyst Nanodegree; Certified Analytics Professional (CAP)
Tami Summers,686-419-4002x3675,"PSC 5484, Box 7624, APO AA 72451","MATLAB, Data Cleaning, Machine Learning, SQL, R",anthony40@anderson.com,Data Visualization Specialist at DataViz Ltd; SQL Developer at DBMasters; Research Assistant at University of Data; Machine Learning Intern at AI Labs,Real-time Data Pipeline; Healthcare Data Analysis; Sales Forecasting,"M.Tech in Data Analytics, 2022; B.Sc. in Computer Science, 2021",Certified Analytics Professional (CAP); Google Data Analytics Certificate
Kristopher Lozano,565-672-6762,"USCGC Allen, FPO AE 53719","Amazon QuickSight, Apache Airflow, Power BI, Seaborn, AWS Redshift",wilkinsonmichael@hotmail.com,ETL Developer at FlowTech; BI Developer at InsightWorks; SQL Developer at DBMasters,Customer Segmentation; Real-time Data Pipeline; E-commerce Dashboard,"M.Sc. in Statistics, 2018",Microsoft Certified: Data Analyst Associate; IBM Data Science Professional Certificate; Google Data Analytics Certificate
Sarah Bowers,(205)747-8150x3314,"83232 Taylor Passage Apt. 481, Whitemouth, NH 67534","Seaborn, Dash, Machine Learning, Data Cleaning, Exploratory Data Analysis",kinglisa@yahoo.com,Freelance Data Consultant; Data Intern at XYZ Ltd,Real-time Data Pipeline; Marketing Campaign Analysis; Churn Prediction,"M.Tech in Data Analytics, 2016",Google Data Analytics Certificate
Samantha Simpson,001-687-800-7571,"75073 Dougherty Vista Suite 257, East Lisa, LA 88927","Business Intelligence, DataRobot, Statistics, MATLAB, Deep Learning",jennifergarcia@blair-lozano.com,Junior Analyst at ABC Corp; Freelance Data Consultant; Business Analyst at QRS Inc,Churn Prediction; Social Media Sentiment Analysis,"B.Tech in Information Technology, 2020; B.Sc. in Statistics, 2022",DataCamp Data Scientist
Allen Bell,(504)615-3298,"54666 Autumn Lane, Travishaven, CO 43049","Pandas, Machine Learning, Dash, R, RapidMiner",butlerisaac@yahoo.com,Research Assistant at University of Data; BI Developer at InsightWorks; ETL Developer at FlowTech; Machine Learning Intern at AI Labs,Credit Risk Modeling; Marketing Campaign Analysis,"B.Sc. in Computer Science, 2018",IBM Data Science Professional Certificate; Google Data Analytics Certificate; DataCamp Data Scientist
Christopher Brooks DDS,(353)416-4093x7668,"84338 Walsh Burg Suite 365, Banksborough, TN 70767","Data Wrangling, Spark, Qlik, MATLAB, Business Intelligence",gary38@bradley.com,Business Analyst at QRS Inc; SQL Developer at DBMasters,E-commerce Dashboard; Customer Segmentation; Real-time Data Pipeline,"B.Tech in Information Technology, 2020; B.Sc. in Mathematics, 2015",Cloudera Certified Associate (CCA) Data Analyst
Robert Cherry,296.232.8883x69929,"409 Dalton Spurs, Stevenbury, WA 97742","SPSS, NLP, Looker, Google Sheets, Tableau",tylerday@villanueva-evans.org,BI Developer at InsightWorks; Machine Learning Intern at AI Labs; Data Intern at XYZ Ltd; Freelance Data Consultant,Fraud Detection System; Churn Prediction,"B.Tech in Information Technology, 2019; M.Tech in Data Analytics, 2017",Cloudera Certified Associate (CCA) Data Analyst; Tableau Desktop Specialist
Tyler Li DDS,449-540-6664,"8608 Christopher Wells Suite 147, Johnsonville, HI 19173","Data Governance, Exploratory Data Analysis, Qlik, Matplotlib, Dash",melaniehines@taylor-hampton.com,Freelance Data Consultant; Data Intern at XYZ Ltd,Fraud Detection System; E-commerce Dashboard,"B.Sc. in Statistics, 2017",IBM Data Science Professional Certificate
Christopher Freeman,319-976-0387x4092,"257 Leslie Greens, South Kristin, MS 01580","NumPy, Kibana, MATLAB, Seaborn, R",carrieblair@arroyo.com,Data Intern at XYZ Ltd; Junior Analyst at ABC Corp; Machine Learning Intern at AI Labs; Data Visualization Specialist at DataViz Ltd,Healthcare Data Analysis; E-commerce Dashboard; Credit Risk Modeling,"B.Sc. in Statistics, 2019; B.Tech in Computer Science, 2022",AWS Certified Data Analytics – Specialty; Google Data Analytics Certificate
Brandon Richards,6796271360,"6394 Patricia Fords, Karinaburgh, KS 49458","Tableau, Google Data Studio, Jupyter, Pandas, Google Sheets",nelsonwilliam@contreras-cortez.com,ETL Developer at FlowTech; Business Analyst at QRS Inc; Freelance Data Consultant; Data Intern at XYZ Ltd,Fraud Detection System; Social Media Sentiment Analysis; E-commerce Dashboard,"M.Tech in Data Analytics, 2018",IBM Data Science Professional Certificate
Sheila Hall,(829)669-0592,"032 Matthew Bridge Suite 900, Port Jasmineside, TX 60671","BigQuery, RapidMiner, Data Modelling, Google Analytics, Power BI",feliciawhite@gmail.com,Research Assistant at University of Data; ETL Developer at FlowTech; Freelance Data Consultant,E-commerce Dashboard; Customer Segmentation,"M.Sc. in Statistics, 2017",Certified Analytics Professional (CAP)
Andrew Snow,(266)185-3619x629,"903 Gregory Wells, Jenniferstad, ID 05734","TensorFlow, Tableau, Amazon QuickSight, ETL, Kibana",mccoyjessica@tran.com,Research Assistant at University of Data; Data Visualization Specialist at DataViz Ltd; Freelance Data Consultant,Sales Forecasting; Social Media Sentiment Analysis; Real-time Data Pipeline,"MBA in Business Analytics, 2020",Microsoft Certified: Data Analyst Associate
Erik Wang,892-650-0812,"0122 Bishop Ports, Danielstown, NY 85017","Apache Airflow, Pandas, Exploratory Data Analysis, Google Data Studio, SQL",jonesann@yahoo.com,SQL Developer at DBMasters; Data Intern at XYZ Ltd,Healthcare Data Analysis; Social Media Sentiment Analysis; Customer Segmentation,"B.Tech in Information Technology, 2020",SAS Certified Data Scientist
David Carter,482-409-0301x920,"54643 Monique Divide Suite 338, Brownberg, ID 02295","Tableau, Data Mining, BigQuery, Keras, SPSS",eweber@gmail.com,Freelance Data Consultant; Junior Analyst at ABC Corp; SQL Developer at DBMasters; Research Assistant at University of Data,Real-time Data Pipeline; Customer Segmentation,"M.Tech in Data Analytics, 2015",Google Data Analytics Certificate; Cloudera Certified Associate (CCA) Data Analyst
Stephanie Jimenez,1351142165,"082 Boyd Terrace, Lake Mackenzie, ID 53586","Qlik, Data Cleaning, BigQuery, Apache Airflow, Jupyter",avilacole@hotmail.com,Freelance Data Consultant; Business Analyst at QRS Inc; Data Intern at XYZ Ltd; Junior Analyst at ABC Corp,E-commerce Dashboard; Marketing Campaign Analysis; Fraud Detection System,"M.Sc. in Statistics, 2022",DataCamp Data Scientist
Debbie Wood,(949)701-6755x6538,"7714 Angela Meadows, Nathanside, WI 48243","MATLAB, Seaborn, D3.js, Data Visualization, NoSQL",sramirez@hotmail.com,ETL Developer at FlowTech; Machine Learning Intern at AI Labs; SQL Developer at DBMasters,Marketing Campaign Analysis; Sales Forecasting; Healthcare Data Analysis,"MBA in Business Analytics, 2017",Tableau Desktop Specialist; Udacity Data Analyst Nanodegree; DataCamp Data Scientist
Travis Alvarez,(987)476-3029x0705,"17691 Carter Drive, Youngbury, MN 57285","Exploratory Data Analysis, Google Data Studio, ETL, NoSQL, Seaborn",megan03@snyder.com,Machine Learning Intern at AI Labs; Data Intern at XYZ Ltd,Social Media Sentiment Analysis; Sales Forecasting,"B.Sc. in Mathematics, 2021; B.Tech in Computer Science, 2015",SAS Certified Data Scientist; Cloudera Certified Associate (CCA) Data Analyst
Melissa Gross,432-883-2903x35819,"042 James Trafficway Suite 442, Spencerstad, DE 56792","Data Governance, Python, D3.js, Dash, Statistics",tonyrodriguez@yahoo.com,Data Intern at XYZ Ltd; Junior Analyst at ABC Corp,Marketing Campaign Analysis; Churn Prediction,"B.Sc. in Mathematics, 2015; B.Sc. in Computer Science, 2017",Certified Analytics Professional (CAP); AWS Certified Data Analytics – Specialty; Google Data Analytics Certificate
Caitlyn Ramsey,021-806-5586x83116,"Unit 1236 Box 1117, DPO AE 04828","Data Visualization, A/B Testing, Keras, Dash, Pandas",stephen61@jackson.biz,Research Assistant at University of Data; Junior Analyst at ABC Corp,Marketing Campaign Analysis; E-commerce Dashboard,"M.Sc. in Statistics, 2015; MBA in Business Analytics, 2016",SAS Certified Data Scientist
Stacy Barr,134-725-2398,"371 Hill Brook, Lake Justin, VT 02682","Business Intelligence, Keras, NoSQL, SQL, Matplotlib",garcianicole@gmail.com,BI Developer at InsightWorks; ETL Developer at FlowTech; Research Assistant at University of Data,Credit Risk Modeling; Customer Segmentation; Real-time Data Pipeline,"B.Tech in Computer Science, 2018",IBM Data Science Professional Certificate; Google Data Analytics Certificate; AWS Certified Data Analytics – Specialty
Michael Marquez,+1-072-081-4703,"760 Marshall Trail Suite 294, New Christopherfort, KS 36214","R, Snowflake, Data Mining, Keras, Google Data Studio",ymccarty@smith-james.com,Freelance Data Consultant; Junior Analyst at ABC Corp,Healthcare Data Analysis; E-commerce Dashboard; Marketing Campaign Analysis,"B.Tech in Computer Science, 2021",Udacity Data Analyst Nanodegree; IBM Data Science Professional Certificate; Certified Analytics Professional (CAP)
Parker Wells,544.178.3469,"214 Stephen Point, West Ryan, DE 44454","Statistics, Kibana, A/B Testing, R, Qlik",amy41@gmail.com,Machine Learning Intern at AI Labs; Research Assistant at University of Data,Credit Risk Modeling; Social Media Sentiment Analysis,"B.Sc. in Mathematics, 2020",Cloudera Certified Associate (CCA) Data Analyst; DataCamp Data Scientist; Microsoft Certified: Data Analyst Associate
Nicholas Powell,(525)780-0284,"Unit 7310 Box 9677, DPO AE 61205","D3.js, Qlik, Flask, Google Data Studio, Tableau",danieltran@foster.biz,BI Developer at InsightWorks; Business Analyst at QRS Inc,Churn Prediction; E-commerce Dashboard,"M.Sc. in Statistics, 2023",Microsoft Certified: Data Analyst Associate
Jennifer Thompson,001-946-534-7160x44569,"1401 Peter Mount Apt. 915, West Evelyn, IA 51398","Google Sheets, Qlik, Data Modelling, Business Intelligence, Apache Airflow",arivera@harris.com,ETL Developer at FlowTech; Data Visualization Specialist at DataViz Ltd; Freelance Data Consultant,Marketing Campaign Analysis; Churn Prediction; Sales Forecasting,"MBA in Business Analytics, 2021; M.Tech in Data Analytics, 2015",Google Data Analytics Certificate; IBM Data Science Professional Certificate
Amanda Singh,(014)228-6603,"018 Andrew Orchard, Lake Christopherbury, SC 40537","TensorFlow, R, ETL, Excel, Looker",rodriguezjohn@harris.com,Data Visualization Specialist at DataViz Ltd; BI Developer at InsightWorks; SQL Developer at DBMasters; Data Intern at XYZ Ltd,Healthcare Data Analysis; Fraud Detection System,"MBA in Business Analytics, 2017; B.Sc. in Statistics, 2018",Cloudera Certified Associate (CCA) Data Analyst; AWS Certified Data Analytics – Specialty
Tonya White,416.888.5472x89000,"42297 Christopher Plaza, West Tinamouth, WI 71780","Data Visualization, Business Intelligence, Deep Learning, Spark, Statistics",richard87@hotmail.com,SQL Developer at DBMasters; Data Intern at XYZ Ltd,Social Media Sentiment Analysis; Churn Prediction,"B.Tech in Information Technology, 2018; M.Sc. in Data Science, 2023",Certified Analytics Professional (CAP)
Tiffany Walton,(874)757-1801x883,"4238 Daniel Meadow Apt. 368, Rogersview, VT 94779","Qlik, RapidMiner, Data Visualization, Data Governance, Business Intelligence",karimitchell@hotmail.com,Data Intern at XYZ Ltd; Research Assistant at University of Data; Data Visualization Specialist at DataViz Ltd,Churn Prediction; E-commerce Dashboard,"M.Sc. in Data Science, 2016; M.Sc. in Data Science, 2019",Tableau Desktop Specialist; Certified Analytics Professional (CAP); AWS Certified Data Analytics – Specialty
Keith Smith,082.289.9748x714,"1064 Michaela Trail, Carolchester, ME 51513","NumPy, Google Analytics, Data Modelling, Seaborn, SAS",jacksonandrea@doyle-rowe.com,Data Visualization Specialist at DataViz Ltd; Freelance Data Consultant; SQL Developer at DBMasters; ETL Developer at FlowTech,Sales Forecasting; Healthcare Data Analysis,"B.Sc. in Statistics, 2015",Tableau Desktop Specialist
Tammy Mckinney,2632096681,"21597 Smith Throughway, Grayshire, AR 90427","Hadoop, Google Analytics, Data Cleaning, SPSS, DataRobot",kelly65@khan.com,BI Developer at InsightWorks; ETL Developer at FlowTech,Social Media Sentiment Analysis; Churn Prediction; Marketing Campaign Analysis,"MBA in Business Analytics, 2017; B.Sc. in Computer Science, 2016",Certified Analytics Professional (CAP); SAS Certified Data Scientist
Mary Smith,009-332-8188x782,"144 Evans Lights Suite 482, Port Gerald, OH 62413","Spark, Looker, Google Sheets, Google Data Studio, A/B Testing",tayloraaron@yahoo.com,ETL Developer at FlowTech; Business Analyst at QRS Inc; Freelance Data Consultant,E-commerce Dashboard; Social Media Sentiment Analysis,"B.Tech in Computer Science, 2019",DataCamp Data Scientist; Microsoft Certified: Data Analyst Associate; AWS Certified Data Analytics – Specialty
Howard Lee,(033)054-6702x59592,"37644 Carson Inlet, West Evelyn, KS 01940","Data Governance, Time Series Analysis, Power BI, Excel, Looker",myersautumn@gmail.com,Data Intern at XYZ Ltd; Junior Analyst at ABC Corp,Churn Prediction; Healthcare Data Analysis; Customer Segmentation,"B.Tech in Computer Science, 2023; M.Tech in Data Analytics, 2017",AWS Certified Data Analytics – Specialty
Becky Carr,317.099.0665x13689,"290 Kayla Common Suite 350, East Steven, NJ 76825","Keras, Data Visualization, Data Mining, RapidMiner, Google Sheets",matthewlopez@yahoo.com,Business Analyst at QRS Inc; Machine Learning Intern at AI Labs; Data Intern at XYZ Ltd; SQL Developer at DBMasters,Fraud Detection System; Real-time Data Pipeline; Sales Forecasting,"B.Sc. in Computer Science, 2017; M.Sc. in Statistics, 2019",Udacity Data Analyst Nanodegree; DataCamp Data Scientist
Katelyn Jackson,509-500-0048x1519,"2286 Timothy Hills Apt. 765, Mosleyland, WY 77982","Amazon QuickSight, Kibana, SQL, Matplotlib, Snowflake",kevin11@gmail.com,Freelance Data Consultant; Data Intern at XYZ Ltd,Fraud Detection System; E-commerce Dashboard; Marketing Campaign Analysis,"B.Sc. in Statistics, 2022",Google Data Analytics Certificate; DataCamp Data Scientist; Certified Analytics Professional (CAP)
Charles Hernandez,+1-960-205-1958x97187,"71334 Montgomery Inlet Suite 731, Hortonbury, MI 04127","Google Analytics, NoSQL, DataRobot, Power BI, Qlik",matthew23@ward.info,Business Analyst at QRS Inc; Machine Learning Intern at AI Labs; Freelance Data Consultant,E-commerce Dashboard; Sales Forecasting,"MBA in Business Analytics, 2021; B.Tech in Computer Science, 2016",Certified Analytics Professional (CAP); DataCamp Data Scientist; Udacity Data Analyst Nanodegree
Michael Nelson,001-292-052-5926x0065,"Unit 3134 Box 9369, DPO AE 91868","SAS, Looker, Flask, AWS Redshift, Data Modelling",pamela08@hotmail.com,Junior Analyst at ABC Corp; Machine Learning Intern at AI Labs; Business Analyst at QRS Inc; SQL Developer at DBMasters,Real-time Data Pipeline; Sales Forecasting,"MBA in Business Analytics, 2021; B.Sc. in Computer Science, 2019",Certified Analytics Professional (CAP); DataCamp Data Scientist; Udacity Data Analyst Nanodegree
Megan Matthews,849.474.4282,"16742 Coleman Squares, Tonitown, TN 08837","BigQuery, Tableau, MATLAB, TensorFlow, Statistics",joshuadavis@hotmail.com,Business Analyst at QRS Inc; SQL Developer at DBMasters,Credit Risk Modeling; Customer Segmentation; Social Media Sentiment Analysis,"M.Sc. in Data Science, 2017; M.Sc. in Statistics, 2019",Tableau Desktop Specialist; DataCamp Data Scientist; Google Data Analytics Certificate
Amber Ruiz,0745425638,"5512 Pope Trail Suite 603, Richardsonside, AZ 47733","NumPy, Data Wrangling, Google Data Studio, AWS Redshift, Kibana",whitejane@barnes.org,Research Assistant at University of Data; Data Visualization Specialist at DataViz Ltd,Healthcare Data Analysis; Sales Forecasting,"B.Sc. in Mathematics, 2015",SAS Certified Data Scientist
Alex Gallegos,8690158742,"536 Wood Drives, West Paul, NV 12924","Matplotlib, Qlik, ETL, Tableau, Data Mining",kiddcynthia@smith-smith.biz,Freelance Data Consultant; Data Intern at XYZ Ltd,Healthcare Data Analysis; Real-time Data Pipeline; Customer Segmentation,"MBA in Business Analytics, 2016; M.Tech in Data Analytics, 2022",AWS Certified Data Analytics – Specialty; Microsoft Certified: Data Analyst Associate; Certified Analytics Professional (CAP)
Michael Petersen,001-248-585-8263x38365,"9798 Justin Stream Suite 332, Lake Emilytown, NC 37633","Seaborn, R, Excel, Data Modelling, Flask",taylorrenee@yahoo.com,Research Assistant at University of Data; Business Analyst at QRS Inc; Junior Analyst at ABC Corp,Marketing Campaign Analysis; Sales Forecasting,"B.Sc. in Statistics, 2018",DataCamp Data Scientist; Google Data Analytics Certificate
Lynn Cook,+1-658-994-0888x3866,"8410 Gregory Lakes Suite 117, West Kevinberg, ND 59763","TensorFlow, Data Cleaning, NumPy, Business Intelligence, Jupyter",christopherwinters@cruz.info,Machine Learning Intern at AI Labs; SQL Developer at DBMasters; ETL Developer at FlowTech,Social Media Sentiment Analysis; E-commerce Dashboard,"M.Sc. in Statistics, 2020",Microsoft Certified: Data Analyst Associate; Google Data Analytics Certificate
Laura Sanders,001-457-350-5057x4706,"USNV Torres, FPO AA 67436","NoSQL, SAS, Pandas, Apache Airflow, Dash",jenniferscott@yahoo.com,Machine Learning Intern at AI Labs; BI Developer at InsightWorks; Data Intern at XYZ Ltd,Marketing Campaign Analysis; Healthcare Data Analysis; Churn Prediction,"B.Sc. in Computer Science, 2019",Certified Analytics Professional (CAP); IBM Data Science Professional Certificate; AWS Certified Data Analytics – Specialty
David Oliver,+1-603-780-5263,"PSC 8664, Box 1303, APO AE 54007","Business Intelligence, Looker, Data Visualization, Seaborn, Machine Learning",brownjohn@barrett.net,Freelance Data Consultant; Data Visualization Specialist at DataViz Ltd; SQL Developer at DBMasters,Credit Risk Modeling; Marketing Campaign Analysis; Customer Segmentation,"B.Sc. in Computer Science, 2021",Google Data Analytics Certificate
Melissa Lowery MD,908-301-2207x1480,"74947 Armstrong Manors, South Teresaberg, CT 31131","Apache Airflow, Spark, Statistics, SAS, Python",maybrittany@thompson.com,Research Assistant at University of Data; SQL Developer at DBMasters; Junior Analyst at ABC Corp; ETL Developer at FlowTech,Real-time Data Pipeline; Social Media Sentiment Analysis,"MBA in Business Analytics, 2017; M.Sc. in Statistics, 2023",DataCamp Data Scientist; AWS Certified Data Analytics – Specialty
Jason Dickson,443.207.4733,"916 Taylor Meadow Apt. 316, Port Riley, CT 74341","Python, R, Matplotlib, A/B Testing, Power BI",thomasdelacruz@yahoo.com,Data Intern at XYZ Ltd; Business Analyst at QRS Inc,Fraud Detection System; Sales Forecasting,"M.Tech in Data Analytics, 2018; M.Sc. in Statistics, 2021",Cloudera Certified Associate (CCA) Data Analyst
Emily Joseph,001-994-231-1744x142,"859 Richard Pines Apt. 521, South Kenneth, AK 14043","Data Visualization, Jupyter, Google Analytics, Pandas, Business Intelligence",vicki41@gmail.com,Data Intern at XYZ Ltd; Research Assistant at University of Data; Business Analyst at QRS Inc; ETL Developer at FlowTech,Social Media Sentiment Analysis; Credit Risk Modeling,"B.Sc. in Statistics, 2019; B.Sc. in Mathematics, 2022",Udacity Data Analyst Nanodegree
Ricky Hicks,(779)932-8958x045,"05024 West Extension, East Amber, CO 43993","TensorFlow, Time Series Analysis, Excel, Data Governance, Deep Learning",daniel91@maddox-schmidt.com,SQL Developer at DBMasters; ETL Developer at FlowTech; Machine Learning Intern at AI Labs,Credit Risk Modeling; Healthcare Data Analysis; Real-time Data Pipeline,"B.Tech in Computer Science, 2020; MBA in Business Analytics, 2021",DataCamp Data Scientist
Melissa Vang,819.112.1313,"646 Penny Ways, Masonton, RI 87674","Google Sheets, Spark, A/B Testing, Kibana, Apache Airflow",josephfrazier@yahoo.com,Data Intern at XYZ Ltd; Data Visualization Specialist at DataViz Ltd; ETL Developer at FlowTech,Fraud Detection System; Credit Risk Modeling,"MBA in Business Analytics, 2017",Certified Analytics Professional (CAP); Tableau Desktop Specialist
Jordan Orr,001-021-361-8909x9791,"5106 David Forges, Christianville, MS 92500","Matplotlib, Spark, BigQuery, Python, Excel",cynthiamoody@morris-vazquez.biz,ETL Developer at FlowTech; Machine Learning Intern at AI Labs; Research Assistant at University of Data; Business Analyst at QRS Inc,Credit Risk Modeling; Social Media Sentiment Analysis,"B.Sc. in Mathematics, 2023",Microsoft Certified: Data Analyst Associate; Cloudera Certified Associate (CCA) Data Analyst
Joseph Bradford,745.871.0911,"5790 Orozco Village, Bethanyshire, CA 37008","Excel, SPSS, Power BI, Python, Keras",rodriguezleslie@yahoo.com,Business Analyst at QRS Inc; BI Developer at InsightWorks; Research Assistant at University of Data; Machine Learning Intern at AI Labs,Credit Risk Modeling; Churn Prediction; E-commerce Dashboard,"B.Sc. in Mathematics, 2022",Certified Analytics Professional (CAP); AWS Certified Data Analytics – Specialty; Tableau Desktop Specialist
David Fisher,475.363.7111,"849 Rice Viaduct Apt. 209, New Ivan, IA 78779","Snowflake, A/B Testing, D3.js, Excel, NoSQL",ybecker@adams.com,SQL Developer at DBMasters; Freelance Data Consultant,Marketing Campaign Analysis; E-commerce Dashboard; Real-time Data Pipeline,"M.Tech in Data Analytics, 2016",Google Data Analytics Certificate; Microsoft Certified: Data Analyst Associate
Patricia Mccormick,(892)005-7490x46111,"6730 Joseph Canyon, Lake Kimberly, NH 36095","Apache Airflow, Spark, Kibana, Data Governance, A/B Testing",michellemason@hotmail.com,SQL Developer at DBMasters; Data Intern at XYZ Ltd; BI Developer at InsightWorks; Freelance Data Consultant,Social Media Sentiment Analysis; Fraud Detection System,"B.Tech in Information Technology, 2023",Cloudera Certified Associate (CCA) Data Analyst
Robert Williams,001-577-657-3356x872,"0500 Smith Avenue, New William, AL 05392","Exploratory Data Analysis, NLP, ETL, SQL, Data Wrangling",awilliams@yahoo.com,Data Intern at XYZ Ltd; SQL Developer at DBMasters,Real-time Data Pipeline; Credit Risk Modeling; Churn Prediction,"B.Sc. in Statistics, 2019; M.Tech in Data Analytics, 2018",Google Data Analytics Certificate
Monica Anderson,287-421-3456x4175,"890 Benjamin Terrace, Barbarashire, NE 62459","ETL, Data Governance, Pandas, NumPy, Statistics",johnpayne@benitez.com,Research Assistant at University of Data; Machine Learning Intern at AI Labs; Data Intern at XYZ Ltd; ETL Developer at FlowTech,Fraud Detection System; Credit Risk Modeling,"B.Tech in Information Technology, 2016",Certified Analytics Professional (CAP); SAS Certified Data Scientist; Cloudera Certified Associate (CCA) Data Analyst
